"cluster","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell","h23_trip_rate","h23_density","h23_top_cell","h0_trip_rate","h0_density","h0_top_cell","h1_trip_rate","h1_density","h1_top_cell","h2_trip_rate","h2_density","h2_top_cell"
0,82.5833333333333,"high","27:77",85.55,"high","27:77",116.483333333333,"high","27:77",171.75,"high","27:77",209.25,"high","27:77",217.15,"high","28:73",237.533333333333,"high","28:73",284.05,"high","28:73",361.883333333333,"high","28:73",419.15,"high","28:73",456.8,"high","28:73",429.55,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,1.5,"median","50:90",1.53333333333333,"median","50:90",2.43333333333333,"median","50:90",2.53333333333333,"median","50:90",2.31666666666667,"median","50:90",1.58333333333333,"median","50:90",1.56666666666667,"median","50:90",1.2,"median","50:90",1.3,"median","50:90",1.76666666666667,"median","50:90",1.6,"median","50:90",1.43333333333333,"median","50:90"
3,0.183333333333333,"low","37:30",0.116666666666667,"low","34:31",0.216666666666667,"median","36:30",0.116666666666667,"low","32:31",0.183333333333333,"low","37:30",0.15,"low","36:30",0.166666666666667,"low","37:29",0.133333333333333,"low","33:31",0.1,"low","29:26",0.216666666666667,"low","34:31",0.1,"low","37:30",0.0166666666666667,"low","36:30"
4,0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","13:124",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","27:114",0.0166666666666667,"low","13:132"
5,1244.2,"high","27:63",1175.51666666667,"high","27:63",1462.88333333333,"high","27:63",1882.45,"high","25:68",2094.81666666667,"high","25:68",1960.03333333333,"high","25:68",1983.28333333333,"high","25:68",2041.23333333333,"high","25:68",1961.16666666667,"high","25:68",1851.78333333333,"high","27:72",1664.35,"high","27:72",1358.41666666667,"high","27:72"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.05,"low","13:107",0.0833333333333333,"low","24:95",0.0666666666666667,"low","30:91",0.0166666666666667,"low","23:95",0.0833333333333333,"low","25:102",0.0333333333333333,"low","22:97",0.0333333333333333,"low","22:97",0.0333333333333333,"low","22:95",0.05,"low","18:101",0.1,"low","31:91",0.05,"low","25:99",0.0166666666666667,"low","23:98"
8,0.4,"median","61:51",0.216666666666667,"median","61:51",0.2,"low","61:51",0.416666666666667,"median","61:51",0.416666666666667,"median","61:51",0.433333333333333,"median","61:51",0.266666666666667,"median","62:50",0.35,"median","61:51",0.383333333333333,"median","62:49",0.333333333333333,"median","58:40",0.566666666666667,"median","58:40",0.5,"median","59:40"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,97.35,"high","41:50",98.2333333333333,"high","41:50",112.366666666667,"high","41:50",134.266666666667,"high","41:50",150.433333333333,"high","41:50",153.4,"high","41:50",161.866666666667,"high","41:50",158.9,"high","41:50",163.3,"high","41:50",154.75,"high","41:50",131.083333333333,"high","41:57",112.3,"high","41:57"
11,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","60:89",0,"low",""
12,9.11666666666667,"median","71:60",8.71666666666667,"median","71:60",9.01666666666667,"median","60:54",10.7333333333333,"median","60:54",11.1333333333333,"median","60:54",11.4833333333333,"median","60:54",11.4333333333333,"median","60:54",13.5166666666667,"median","60:54",13.8666666666667,"median","60:54",11.7333333333333,"median","60:54",7.8,"median","60:54",3.71666666666667,"median","60:54"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,28.95,"high","22:47",28.3166666666667,"high","22:47",30.05,"high","22:47",33.8166666666667,"high","22:47",36.0666666666667,"high","22:47",35.2333333333333,"high","22:47",35.5333333333333,"high","25:52",37.1666666666667,"high","22:47",37.3833333333333,"high","25:52",36.35,"high","22:51",29.5333333333333,"high","22:51",22.45,"high","22:51"
