"cluster","h12_trip_rate","h12_density","h12_top_cell","h13_trip_rate","h13_density","h13_top_cell","h14_trip_rate","h14_density","h14_top_cell","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell","h23_trip_rate","h23_density","h23_top_cell"
0,84.0833333333333,"high","27:77",85.6,"high","27:77",88.4833333333333,"high","27:77",90.2,"high","27:77",86.9333333333333,"high","27:77",104.15,"high","27:77",145.4,"high","27:77",171.233333333333,"high","27:77",174.333333333333,"high","27:77",187.966666666667,"high","28:73",195.816666666667,"high","28:73",177.433333333333,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,0.966666666666667,"median","50:90",0.983333333333333,"median","50:90",1,"median","50:90",1.1,"median","50:90",1.4,"median","50:90",1.63333333333333,"median","50:90",1.75,"median","50:90",1.81666666666667,"median","50:90",1.15,"median","50:90",1.06666666666667,"median","50:90",0.85,"median","50:90",0.95,"median","50:90"
3,0.0166666666666667,"low","33:30",0.0333333333333333,"low","35:31",0.133333333333333,"low","34:31",0.1,"low","32:31",0.0833333333333333,"low","36:30",0.0833333333333333,"low","30:26",0.133333333333333,"low","36:31",0.1,"low","37:29",0.05,"low","33:30",0.0666666666666667,"low","34:29",0.0666666666666667,"low","35:29",0.05,"low","36:30"
4,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
5,1350.73333333333,"high","25:68",1404.83333333333,"high","25:68",1500.28333333333,"high","25:68",1482.1,"high","25:68",1464.58333333333,"high","25:68",1685.46666666667,"high","25:68",2035.48333333333,"high","25:68",2252.76666666667,"high","25:68",2198.58333333333,"high","25:68",2143.61666666667,"high","25:68",1856.93333333333,"high","25:68",1318.33333333333,"high","25:68"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.0833333333333333,"low","18:107",0.0166666666666667,"low","27:102",0.133333333333333,"low","17:100",0.0833333333333333,"low","23:98",0,"low","",0.0333333333333333,"low","22:97",0.0333333333333333,"low","24:95",0.0166666666666667,"low","24:95",0.05,"low","16:105",0.0333333333333333,"low","16:105",0.0333333333333333,"low","22:98",0.0666666666666667,"low","13:104"
8,0.333333333333333,"median","61:51",0.216666666666667,"median","61:51",0.3,"median","67:46",0.283333333333333,"median","61:51",0.45,"median","67:46",0.266666666666667,"median","61:51",0.35,"median","61:51",0.266666666666667,"median","61:51",0.183333333333333,"median","61:51",0.35,"median","61:51",0.316666666666667,"median","61:51",0.183333333333333,"median","62:51"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,85.4333333333333,"high","41:50",92.25,"high","41:50",98.55,"high","41:50",95.2666666666667,"high","41:50",98.5166666666667,"high","41:50",103.966666666667,"high","41:50",124,"high","41:50",127.8,"high","41:50",122.866666666667,"high","41:50",122,"high","41:50",114.383333333333,"high","41:50",109.65,"high","41:50"
11,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
12,6.61666666666667,"median","71:60",7.85,"median","71:60",8.55,"median","71:60",9.45,"median","71:60",10.0333333333333,"median","71:60",9.55,"median","71:60",10.7833333333333,"median","71:60",11.2833333333333,"median","60:54",10.8333333333333,"median","60:54",10.3833333333333,"median","71:60",11.7666666666667,"median","71:60",12.95,"median","71:60"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,24.3,"high","22:47",26.05,"high","22:47",27.2666666666667,"high","22:47",25.3166666666667,"high","22:47",24.6333333333333,"high","22:47",27.55,"high","22:47",27.5,"high","22:47",25.45,"high","22:47",22.5333333333333,"high","22:47",22.4,"high","22:47",19.4833333333333,"high","22:47",18.05,"high","22:47"
