"cluster","h14_trip_rate","h14_density","h14_top_cell","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell","h23_trip_rate","h23_density","h23_top_cell","h0_trip_rate","h0_density","h0_top_cell","h1_trip_rate","h1_density","h1_top_cell"
0,144.4,"high","28:73",142.016666666667,"high","28:73",141.933333333333,"high","28:73",165.783333333333,"high","28:73",199.183333333333,"high","28:73",210.716666666667,"high","28:73",214.05,"high","28:73",232.4,"high","28:73",276.566666666667,"high","28:73",361.183333333333,"high","28:73",440.416666666667,"high","28:73",496.266666666667,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,1.11666666666667,"median","50:90",1.11666666666667,"median","50:90",1.43333333333333,"median","50:90",1.3,"median","50:90",1.78333333333333,"median","50:90",1.41666666666667,"median","50:90",1.08333333333333,"median","50:90",1.3,"median","50:90",1.51666666666667,"median","50:90",1.51666666666667,"median","50:90",1.83333333333333,"median","50:90",1.73333333333333,"median","50:90"
3,0.15,"low","36:30",0.15,"low","36:31",0.3,"median","37:30",0.1,"low","37:29",0.133333333333333,"low","36:30",0.25,"low","37:29",0.216666666666667,"low","36:30",0.133333333333333,"low","45:27",0.166666666666667,"low","35:31",0.0833333333333333,"low","31:25",0.133333333333333,"low","33:31",0.25,"low","37:31"
4,0,"low","",0.0166666666666667,"low","15:114",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0.0333333333333333,"low","16:131"
5,1722.66666666667,"high","25:68",1701.08333333333,"high","25:68",1596.65,"high","25:68",1702.75,"high","25:68",1871.68333333333,"high","25:68",1850.1,"high","25:68",1693.9,"high","25:68",1742.63333333333,"high","25:68",1884.43333333333,"high","25:68",1925.11666666667,"high","25:68",1891.23333333333,"high","27:72",1784.36666666667,"high","27:72"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.0833333333333333,"low","10:107",0.0666666666666667,"low","25:98",0.0666666666666667,"low","10:107",0.0333333333333333,"low","17:104",0.05,"low","11:109",0.0666666666666667,"low","23:96",0.0666666666666667,"low","8:110",0,"low","",0.0833333333333333,"low","16:103",0.0166666666666667,"low","24:95",0,"low","",0.0833333333333333,"low","22:97"
8,0.366666666666667,"median","67:46",0.4,"median","61:51",0.233333333333333,"low","61:51",0.366666666666667,"median","61:51",0.416666666666667,"median","61:51",0.4,"median","61:51",0.483333333333333,"median","61:51",0.266666666666667,"median","61:51",0.25,"median","62:51",0.466666666666667,"median","58:40",0.483333333333333,"median","61:51",0.4,"median","58:40"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,105.05,"high","41:50",112.3,"high","41:50",114.4,"high","41:50",126.516666666667,"high","41:50",130.583333333333,"high","41:50",135.816666666667,"high","41:50",134.533333333333,"high","41:50",144.916666666667,"high","41:50",149.916666666667,"high","41:50",159.95,"high","41:50",156.45,"high","52:55",144.7,"high","41:57"
11,0,"low","",0.0166666666666667,"low","66:82",0.0166666666666667,"low","59:90",0,"low","",0.0333333333333333,"low","59:90",0,"low","",0,"low","",0.0166666666666667,"low","65:83",0,"low","",0,"low","",0.0166666666666667,"low","66:83",0,"low",""
12,7.63333333333333,"median","71:60",8.5,"median","60:54",9.51666666666667,"median","60:54",9.8,"median","60:54",9.9,"median","60:54",11.1833333333333,"median","60:54",10.85,"median","60:54",11.5166666666667,"median","60:54",12.45,"median","60:54",14.15,"median","60:54",9.48333333333333,"median","60:54",6.85,"median","60:54"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,31.85,"high","22:51",32.6333333333333,"high","22:47",31.7166666666667,"high","22:52",32.9166666666667,"high","25:52",33.4166666666667,"high","25:52",36.0166666666667,"high","22:52",34.6666666666667,"high","25:52",37.8166666666667,"high","25:52",39.2833333333333,"high","22:47",40.2833333333333,"high","22:51",39.8666666666667,"high","22:51",35.4666666666667,"high","22:51"
