"cluster","h13_trip_rate","h13_density","h13_top_cell","h14_trip_rate","h14_density","h14_top_cell","h15_trip_rate","h15_density","h15_top_cell","h16_trip_rate","h16_density","h16_top_cell","h17_trip_rate","h17_density","h17_top_cell","h18_trip_rate","h18_density","h18_top_cell","h19_trip_rate","h19_density","h19_top_cell","h20_trip_rate","h20_density","h20_top_cell","h21_trip_rate","h21_density","h21_top_cell","h22_trip_rate","h22_density","h22_top_cell","h23_trip_rate","h23_density","h23_top_cell","h0_trip_rate","h0_density","h0_top_cell"
0,81.45,"high","27:77",81.3333333333333,"high","27:77",74.0166666666667,"high","27:77",72.3833333333333,"high","28:73",96.2666666666667,"high","27:77",140.216666666667,"high","27:77",182.616666666667,"high","27:77",204.866666666667,"high","27:77",245.816666666667,"high","28:73",287.9,"high","28:73",312.133333333333,"high","28:73",289.25,"high","28:73"
1,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
2,1.15,"median","50:90",1.25,"median","50:90",1.71666666666667,"median","50:90",1.56666666666667,"median","50:90",2.25,"median","50:90",2.63333333333333,"median","50:90",2.53333333333333,"median","50:90",1.63333333333333,"median","50:90",1.36666666666667,"median","50:90",1.25,"median","50:90",0.983333333333333,"median","50:90",0.966666666666667,"median","50:90"
3,0.1,"low","32:28",0.133333333333333,"low","37:30",0.133333333333333,"low","36:30",0.1,"low","37:30",0.166666666666667,"low","37:29",0.166666666666667,"low","37:30",0.0666666666666667,"low","33:29",0.1,"low","37:29",0.0833333333333333,"low","38:30",0.0166666666666667,"low","36:30",0.0833333333333333,"low","33:28",0.1,"low","31:27"
4,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0.0166666666666667,"low","19:127",0,"low","",0,"low","",0,"low",""
5,1236.38333333333,"high","26:64",1278.4,"high","27:63",1182.98333333333,"high","27:63",1112.48333333333,"high","27:63",1353.43333333333,"high","27:63",1727.46666666667,"high","27:63",2011.58333333333,"high","25:68",2146.1,"high","25:68",2249.46666666667,"high","27:64",2153.98333333333,"high","25:68",1942.33333333333,"high","25:68",1530.01666666667,"high","27:72"
6,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
7,0.0833333333333333,"low","19:106",0.05,"low","21:97",0.116666666666667,"low","24:95",0.0166666666666667,"low","26:98",0.0333333333333333,"low","24:96",0.0666666666666667,"low","21:97",0.0666666666666667,"low","21:97",0.05,"low","23:96",0.0333333333333333,"low","23:99",0.0333333333333333,"low","22:98",0.0166666666666667,"low","28:101",0.0833333333333333,"low","18:102"
8,0.233333333333333,"median","56:38",0.25,"median","61:51",0.3,"median","60:48",0.166666666666667,"median","59:45",0.233333333333333,"median","61:51",0.433333333333333,"median","61:51",0.316666666666667,"median","61:51",0.383333333333333,"median","61:51",0.216666666666667,"median","61:51",0.333333333333333,"median","61:51",0.2,"median","61:51",0.35,"median","63:49"
9,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
10,87.2,"high","41:50",90.6666666666667,"high","41:50",89.1666666666667,"high","41:50",89.4166666666667,"high","41:50",99.1166666666667,"high","41:50",120.1,"high","41:50",138.433333333333,"high","41:50",139.7,"high","41:50",143.666666666667,"high","41:50",137.366666666667,"high","41:50",131.566666666667,"high","41:50",107.816666666667,"high","41:50"
11,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
12,6.83333333333333,"median","71:60",8.63333333333333,"median","71:60",8.31666666666667,"median","71:60",9.11666666666667,"median","71:60",8.95,"median","71:60",9.85,"median","60:54",11.05,"median","60:54",11.7833333333333,"median","60:54",11.6333333333333,"median","60:54",12.05,"median","60:54",12.1666666666667,"median","60:54",10.8333333333333,"median","60:54"
13,0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low","",0,"low",""
14,26.7833333333333,"high","22:47",28.1166666666667,"high","22:47",26.9,"high","22:47",25.9833333333333,"high","22:47",28.1666666666667,"high","22:47",31.7833333333333,"high","22:47",32.2,"high","22:47",31.1666666666667,"high","22:47",30.9666666666667,"high","25:52",27.9833333333333,"high","22:47",27.6333333333333,"high","22:47",22.7,"high","22:47"
